user_uuid,question_code,question_text,question_number,category_id,category_name,option_id,option_select,option_code,option_text,block_number,created_at
e0fcda19-b5f0-48ab-9188-1290167ce8cf,1_1,"“Status: undefined, but not unloved.” Not all love lives are loud. Some are still forming, healing, daydreaming, or blooming when no one’s watching. What’s yours trying to say right now?  If your love life had a status update, what would it say?",,1,Love,,D,1_1_D,D. Patch notes dropping soon. Heart.exe rebooting.,1,2025-08-18T06:09:43.023793
e0fcda19-b5f0-48ab-9188-1290167ce8cf,1_2,What kind of love do you believe in?,,1,Love,,C,1_2_C,C. Laughs even when it’s hard.,2,2025-08-03T06:09:43.023928
e0fcda19-b5f0-48ab-9188-1290167ce8cf,1_22,"Some love stories end with closure. Others end with… screenshots. Either way, if you can laugh now, it means you’ve made it somewhere new.  What’s a moment from a past relationship you laugh about now?",,1,Love,,A,1_22_A,A. The awkward first date.  I should’ve known when they brought their mom.,4,2025-08-13T06:09:43.024028
e0fcda19-b5f0-48ab-9188-1290167ce8cf,1_24,"Your love life isn’t broken. It’s just in beta. Honest status updates are the start of real growth—and great stories. 💘 If your love life had a status update, what would it say?",,1,Love,,D,1_24_D,D. I might be the red flag—but I’m in beta too.,5,2025-08-20T06:09:43.024062
e0fcda19-b5f0-48ab-9188-1290167ce8cf,2_1,"What was your friend vibe this summer? Friendship status: IRL, URL, or MIA?",,2,Friends,,C,2_1_C,C. I showed up. Still felt swappable.,1,2025-08-18T06:09:43.024066
e0fcda19-b5f0-48ab-9188-1290167ce8cf,2_8,What do you do when a friend hurts your feelings?,,2,Friends,,C,2_8_C,"C. I smiled like it was fine, but it wasn’t.",1,2025-08-29T06:09:43.024083
e0fcda19-b5f0-48ab-9188-1290167ce8cf,2_17,What do you wish your friends understood about you?,,2,Friends,,E,2_17_E,E. I feel left out sometimes—but I play it off.,1,2025-08-14T06:09:43.024086
e0fcda19-b5f0-48ab-9188-1290167ce8cf,2_18,When a friend chose someone else over you,,2,Friends,,A,2_18_A,A. That stung. I felt replaced.,1,2025-08-06T06:09:43.024089
e0fcda19-b5f0-48ab-9188-1290167ce8cf,2_19,Sometimes fitting in costs more than it’s worth.  Have you ever gone along with something that didn’t feel right to you—just to fit in?,,2,Friends,,B,2_19_B,"B. I didn’t want to, but saying “no” felt harder.",4,2025-08-10T06:09:43.024178
e0fcda19-b5f0-48ab-9188-1290167ce8cf,2_20,What do you do when you don’t want to go along with what your friends are doing?,,2,Friends,,OTHER,2_20_OTHER,☐ Or maybe I do something else entirely:,4,2025-08-18T06:09:43.024181
e0fcda19-b5f0-48ab-9188-1290167ce8cf,2_21,What do you do when you feel like you’re always the second choice?,,2,Friends,,OTHER,2_21_OTHER,☐ Or maybe I do something else:,4,2025-08-29T06:09:43.024184
e0fcda19-b5f0-48ab-9188-1290167ce8cf,2_22,"What do you do when a friend is pulling away, but you’re not sure why?",,2,Friends,,D,2_22_D,D. I ghost them first—beats getting dropped.,4,2025-08-08T06:09:43.024186
e0fcda19-b5f0-48ab-9188-1290167ce8cf,2_25,It stings to be left out. But picking a guest list isn’t easy either. Sometimes it’s not personal—it’s just hard.  How do you handle it when you’re the host?,,2,Friends,,A,2_25_A,A.  I invite the people I’m closest to—it’s just easier.,5,2025-08-07T06:09:43.024203
e0fcda19-b5f0-48ab-9188-1290167ce8cf,2_26,How do you handle it when someone feels hurt because you didn’t include them?,,2,Friends,,OTHER,2_26_OTHER,Other,5,2025-08-15T06:09:43.024206
